species	accession	taxid	species_taxid
Campylobacter ureolyticus	GCF_000374605.1	1121102	827
Campylobacter corcagiensis	GCF_000597805.1	1448857	1448857
Campylobacter geochelonis	GCA_900063025.1	1780362	1780362
Campylobacter hominis	GCF_000017585.1	360107	76517
Campylobacter gracilis	GCF_000175875.1	553220	824
Campylobacter sputorum	GCF_000788295.1	32024	206
Campylobacter fetus	GCF_000015085.1	360106	196
Campylobacter hyointestinalis	GCF_000705275.1	91352	198
Campylobacter iguaniorum	GCF_001483985.1	1244531	1244531
Campylobacter sp.	UBA1713	1946149	1946149
Campylobacter curvus	GCF_000376325.1	1121268	200
Campylobacter concisus	GCF_000466745.1	1242969	199
Campylobacter mucosalis	GCF_000705255.1	202	202
Campylobacter rectus	GCF_000174175.1	553218	203
Campylobacter subantarcticus	GCF_000816305.1	1388752	497724
Campylobacter lari	GCF_000816405.1	1453989	201
Campylobacter peloridis	GCF_000816785.1	1388753	488546
Campylobacter insulaenigrae	GCF_000816185.1	1031564	260714
Campylobacter volucris	GCF_000816345.1	580033	1031542
Campylobacter jejuni	GCF_000254515.1	889247	197
Campylobacter coli	GCF_000583775.1	1183379	195
Campylobacter upsaliensis	GCF_000620965.1	1121269	28080
Campylobacter cuniculorum	GCF_000621005.1	1121267	374106
Sulfurospirillum multivorans	GCF_000568815.1	1150621	66821
Sulfurospirillum arsenophilum	GCF_000813345.1	1349789	56698
Sulfurospirillum sp. UCH001	GCA_001548035.1	1581011	1581011
Sulfurospirillum deleyianum	GCF_000024885.1	525898	65553
Sulfurospirillum barnesii	GCF_000265295.1	760154	44674
Sulfurospirillum cavolei	GCF_000813325.1	1349788	366522
Sulfurospirillum sp.	UBA2217	1947594	1947594
Sulfurospirillum sp.	UBA6810	1947600	1947600
Sulfurospirillum sp.	UBA12182	2015905	2015905
Sulfurospirillum arcachonense	GCF_000597725.1	1123326	57666
Sulfurospirillum sp.	UBA1877	1951531	1951531
Helicobacter ailurogastricus	GCF_001282945.1	1578720	1578720
Helicobacter heilmannii	GCF_001282965.1	35817	35817
Helicobacter suis	GCF_000187625.1	710393	104628
Helicobacter bizzozeronii	GCF_000237285.1	1002804	56877
Helicobacter felis	GCF_000200595.1	936155	214
Helicobacter cetorum	GCF_000259255.1	182217	138563
Helicobacter pylori	GCF_001278545.1	210	210
Helicobacter mustelae	GCF_000091985.1	679897	217
Helicobacter bilis	GCF_000158435.2	613026	37372
Helicobacter trogontum	GCF_000765885.1	50960	50960
Helicobacter sanguini	GCF_000762875.1	1548018	1548018
Helicobacter macacae	GCF_000507845.1	1357400	398626
Helicobacter canisd	GCF_000507865.1	1357399	29419
Helicobacter fennelliae	GCF_000509365.1	1325130	215
Helicobacter hepaticus	GCF_000007905.1	235279	32025
Helicobacter typhlonius	GCF_001460635.1	76936	76936
Helicobacter cinaedi	GCF_000349975.1	537971	213
Helicobacter magdeburgensis	GCF_000765825.1	471858	471858
Helicobacter sp. MIT 09-6949	GCF_000763135.1	1677920	1677920
Helicobacter sp. MIT 05-5293	GCF_000765665.1	1548149	1548149
Helicobacter himalayensis	GCA_001602095.1	1591088	1591088
Helicobacter pametensis	GCF_000518225.1	1408442	95149
Helicobacter canadensis	GCF_000162575.1	537970	123841
Helicobacter pullorum	GCF_001298055.1	35818	35818
Helicobacter apodemus	GCF_000765745.1	135569	135569
Helicobacter winghamensis	GCF_000158455.1	556267	157268
Helicobacter rodentium	GCF_000687535.1	1449345	59617
Wolinella succinogenes	GCF_000196135.1	273121	844
	UBA6016	1951927	1951927
Sulfurimonas autotrophica	GCF_000147355.1	563040	202747
Sulfurimonas sp.	UBA2011	1947587	1947587
Sulfurimonas gotlandica	GCF_000242915.1	929558	1176482
Sulfurimonas sp. AST-10	GCF_000445475.1	1172190	1172190
Sulfurimonas sp.	UBA6014	1947588	1947588
Sulfurimonas sp.	UBA12504	2015903	2015903
Sulfurimonas denitrificans	GCF_000012965.1	326298	39766
Sulfurimonas sp.	UBA6792	1947590	1947590
Sulfurimonas sp.	UBA10385	2015902	2015902
Sulfurimonas sp.	UBA6795	1947591	1947591
Sulfuricurvum sp. MLSB	GCA_000747095.1	1537917	1537917
Sulfuricurvum sp.	UBA2173	1947585	1947585
Sulfuricurvum kujiense	GCF_000183725.1	709032	148813
Sulfuricurvum sp. PC08-66	GCA_000830255.1	1539066	1539066
Thiovulum sp. ES	GCA_000276965.1	1177931	1177931
Arcobacter cryaerophilus	GCA_001572875.1	28198	28198
Arcobacter skirrowii	GCA_001572935.1	28200	28200
Arcobacter cibarius	GCF_000522465.1	1442598	255507
Arcobacter faecis	GCF_000585155.1	1564138	1564138
Arcobacter lanthieri	GCF_000648635.1	1355374	1355374
Arcobacter butzleri	GCF_000014025.1	367737	28197
Arcobacter sp. L	GCF_000284235.1	944547	944547
Arcobacter sp.	UBA7394	1946052	1946052
Arcobacter anaerophilus	GCF_000935065.1	877500	877500
Arcobacter sp.	UBA1348	1946044	1946044
Arcobacter nitrofigilis	GCF_000092245.1	572480	28199
Arcobacter sp.	UBA2440	1948571	1948571
Arcobacter sp.	UBA6211	1948573	1948573
Sulfurovum sp. AR	GCF_000296775.1	1165841	1165841
Sulfurovum lithotrophicum	GCF_000987835.1	206403	206403
Sulfurovum sp.	UBA4779	1947604	1947604
Sulfurovum sp.	UBA12169	2015906	2015906
Sulfurovum sp.	UBA1140	1947601	1947601
Sulfurovum sp. C5	GCA_001493195.1	497650	497650
Sulfurovum sp.	UBA5622	1947607	1947607
Sulfurovum sp.	UBA5198	1947606	1947606
Sulfurovum sp. FS08-3	GCA_000830175.1	1539065	1539065
Nitratifractor salsuginis	GCF_000186245.1	749222	269261
Hydrogenimonas thermophilia	GCA_900115615.1	223786	223786
Nitratiruptor sp. SB155-2	GCF_000010325.1	387092	387092
Nautilia profundicola	GCF_000021725.1	598659	244787
Lebetimonas sp. JS138	GCF_000523335.1	990072	990072
Caminibacter mediatlanticus	GCF_000170735.1	391592	291048
